,title,streetaddress,localaddress,phone,email
45,"RYTERNA LT, UAB",Savanorių pr. 404D,KAUNAS,+370 37338388,pardavimai@ryterna.lt
46,"RYTERNA, UAB",Savanorių pr. 404D,KAUNAS,+370 37338388,pardavimai@ryterna.lt
47,"SAUGUMAS LT, UAB",Dvaro g. 98,ŠIAULIAI,+370 60200533,uab.saugumas@gmail.com
48,"SHTORM, UAB",Budnykų g. 18,"MAIŠIAGALA, VILNIAUS R.",+370 60853905,info@shtorm.lt
49,"SIMARA, UAB",Vasario 16-osios g. 6,MARIJAMPOLĖ,+370 34394100,info@simara.lt
50,"SIP PREKYBA, UAB",Naujoji Uosto g. 10A -1,KLAIPĖDA,+370 67109876,sipprekyba@gmail.com
51,"SKAITMENINĖ AKIS, UAB",Tilžės g. 24A -26,ŠIAULIAI,+370 69598880,info@sistemos.org
52,"STACHAS IR KO, UAB",Pašilaičių g. 5 -77,VILNIUS,+370 61472369,stachas@dtiltas.lt
53,"STATOMETA, UAB",Apaščios g. 10B,KAUNAS,+370 60394443,info.statom@gmail.com
54,"TERMOLIUKSAS, UAB",Ozo g. 20,VILNIUS,+370 52404351,info@termoliuksas.lt
55,"Tvorlitus, UAB",Kopų g. 16,KAUNAS,+370 37373739,info@tvoros-vartai.lt
56,"UNIVEGA, UAB",Sąnašos g. 38,KAUNAS,+370 69800805,univega@gmail.com
57,"UTMETA, UAB",,"ANTALGĖS K., LELIŪNŲ SEN., UTENOS R.",+370 69870747,utmetos@gmail.com
58,"VADVILSA, UAB",Vytenio g. 29,VILNIUS,+370 69944993,vadvilsa@takas.lt
59,"VAKARŲ VARTAI, MB",Vilniaus g. 29 -1,"SALANTAI, KRETINGOS R.",+370 60333191,vakaru.vartai@gmail.com
60,"VARESA, UAB",Šilutės pl. 51,KLAIPĖDA,+370 46241624,info@varesa.lt
61,"VARSTA, UAB",Viršupio g. 5,VILNIUS,+370 60114883,virazgu@gmail.com
62,"VARTAI IR TVOROS, UAB",Raudondvario pl. 150,KAUNAS,+370 68755182,vartaitvoros@gmail.com
63,"BALTIJOS OPENA, UAB",Austėjos g. 4,"NAUJASODŽIŲ VS., AVIŽIENIŲ SEN., VILNIAUS R.",+370 65271666,opena@baltijosopena.eu
64,"VARTAI JUMS, UAB",J. Janonio g. 6,PANEVĖŽYS,+370 67643419,vartaijums@gmail.com
65,"VARTONAS, UAB Klaipėdos filialas",,KLAIPĖDA,+370 69992268,klaipeda@vartonas.llt
66,"VARTŲ REMONTAS, individuali veikla",Šeimyniškių g. 40,VILNIUS,+370 69080037,kulibinas@gmail.com
67,"VARTŲ ROJUS, individuali veikla",Tujų g. 15,VILNIUS,+370 68500363,info@varturojus.lt
68,"VARTŲ SERVISO TARNYBA, UAB",Baltų pr. 99 -34,KAUNAS,+370 68548000,info@varturemontas.lt
69,"VARTŲ SISTEMOS LT, UAB",Mokyklos g. 21,"BUKIŠKĖS, AVIŽIENIŲ SEN., VILNIAUS R.",+370 68337553,info@vartusistemos.com
70,"VARTŲ TECHNIKA, UAB",Rolando Jankausko g. 6,VILNIUS,+370 52402303,vilnius@vartutechnika.lt
71,"VESTORA, UAB",Architektų g. 56 -101,VILNIUS,+370 63399990,info@vestora.lt
72,"VGJ BALTIC, UAB filialas",Daubėnų g. 7,VILNIUS,+370 61251764,info@vestora.lt
73,"VOKIŠKI VARTAI, UAB",Pramonės pr. 15A,KAUNAS,+370 37407706,info@vokiskivartai.lt
74,"VOX BALTICA, UAB",Veiverių g. 9B -62,VILNIUS,+370 60063603,tvoros@post.com
